reference_id,entity_id,claim_id,rank,property_id,datatype,datavalue,entity_label,entity_label_lan,property_label,property_label_lan,object_label,object_label_lan
070846d750566b106d381006f811198c46b96bca,Q7788564,Q7788564$0645B2FA-B682-4B97-B403-D3ADC88FC40C,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60586156, 'id': 'Q60586156'}, 'type': 'wikibase-entityid'}",Thomas Coningsby,en,position held,en,Member of the 1614 Parliament,en
57fa5fdc8c4c9df60ca842edf21a9ade6499c99d,Q2054032,Q2054032$7391A2CE-D3FE-4ECB-9F85-FF08A897994D,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60576928, 'id': 'Q60576928'}, 'type': 'wikibase-entityid'}",David Cecil,en,position held,en,Member of the 1504 Parliament,en
57fa5fdc8c4c9df60ca842edf21a9ade6499c99d,Q2054032,Q2054032$E8D64E1C-D0E6-47D0-9653-4C7036F67E42,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60585632, 'id': 'Q60585632'}, 'type': 'wikibase-entityid'}",David Cecil,en,position held,en,Member of the 1510 Parliament,en
57fa5fdc8c4c9df60ca842edf21a9ade6499c99d,Q2054032,Q2054032$8AAF071A-C18F-4607-A515-1232D7AA128B,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60585635, 'id': 'Q60585635'}, 'type': 'wikibase-entityid'}",David Cecil,en,position held,en,Member of the 1512-14 Parliament,en
57fa5fdc8c4c9df60ca842edf21a9ade6499c99d,Q2054032,Q2054032$70554844-C2A3-4C0D-A6C7-0D425AAB70E3,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60585646, 'id': 'Q60585646'}, 'type': 'wikibase-entityid'}",David Cecil,en,position held,en,Member of the 1515 Parliament,en
57fa5fdc8c4c9df60ca842edf21a9ade6499c99d,Q2054032,Q2054032$DC68A7AD-9585-4757-ACBD-6341FC725C48,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60585652, 'id': 'Q60585652'}, 'type': 'wikibase-entityid'}",David Cecil,en,position held,en,Member of the 1523 Parliament,en
f45b0bf40a1963402190863450ade972a433c477,Q53645694,Q53645694$7FC1CF1E-8091-4214-A0C0-DE4AEED869AC,normal,P569,time,"{'value': {'time': '+1599-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Christopher Herrys,en,date of birth,en,1599,en
f45b0bf40a1963402190863450ade972a433c477,Q53645694,Q53645694$49EC5F23-3A23-42E6-B634-E2ADE9251730,normal,P570,time,"{'value': {'time': '+1628-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Christopher Herrys,en,date of death,en,1628,en
572c2a9299309c6c8e82919bd9355e917dffb032,Q28091646,Q28091646$6A01C4A8-2F4D-46D1-8141-D6E8748C9200,normal,P31,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 5, 'id': 'Q5'}, 'type': 'wikibase-entityid'}",John Thompson,en,instance of,en,human,en
572c2a9299309c6c8e82919bd9355e917dffb032,Q28091646,Q28091646$F5B8E783-08C8-4F56-96A1-BF84B0BBF160,normal,P21,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 6581097, 'id': 'Q6581097'}, 'type': 'wikibase-entityid'}",John Thompson,en,sex or gender,en,male,en
572c2a9299309c6c8e82919bd9355e917dffb032,Q28091646,Q28091646$5C3DFD7E-357D-4641-8CD4-23F7C68B7F0C,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 18018860, 'id': 'Q18018860'}, 'type': 'wikibase-entityid'}",John Thompson,en,position held,en,Member of Parliament in the Parliament of England,en
572c2a9299309c6c8e82919bd9355e917dffb032,Q28091646,Q28091646$89821685-2BA5-48A5-97E1-DAE741574258,normal,P27,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 179876, 'id': 'Q179876'}, 'type': 'wikibase-entityid'}",John Thompson,en,country of citizenship,en,Kingdom of England,en
cb58496ae7baa7428c8b58cfee9f7d9c3a9d45e4,Q7528378,Q7528378$69926C65-15B3-47C5-8204-46A1A66365D4,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 41582538, 'id': 'Q41582538'}, 'type': 'wikibase-entityid'}","Sir Nicholas Colthurst, 4th Baronet",en,position held,en,Member of the 6th Parliament of the United Kingdom,en
cb58496ae7baa7428c8b58cfee9f7d9c3a9d45e4,Q7528378,Q7528378$691855D9-6647-4322-AA42-306ADD68B6D6,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 41582535, 'id': 'Q41582535'}, 'type': 'wikibase-entityid'}","Sir Nicholas Colthurst, 4th Baronet",en,position held,en,Member of the 5th Parliament of the United Kingdom,en
cb58496ae7baa7428c8b58cfee9f7d9c3a9d45e4,Q7528378,Q7528378$AB48A1FA-021C-47F5-8045-5E859A4F7A1E,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 41582540, 'id': 'Q41582540'}, 'type': 'wikibase-entityid'}","Sir Nicholas Colthurst, 4th Baronet",en,position held,en,Member of the 7th Parliament of the United Kingdom,en
cb58496ae7baa7428c8b58cfee9f7d9c3a9d45e4,Q7528378,Q7528378$5136DC84-974E-4576-8C97-F84B75E5842A,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 41582542, 'id': 'Q41582542'}, 'type': 'wikibase-entityid'}","Sir Nicholas Colthurst, 4th Baronet",en,position held,en,Member of the 8th Parliament of the United Kingdom,en
c807e80b2eff7c941c8062ab61a97632745a3fb8,Q7327354,Q7327354$890F76BB-EBB1-4A51-9312-5011300DF25B,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60586149, 'id': 'Q60586149'}, 'type': 'wikibase-entityid'}",Richard Leveson,en,position held,en,Member of the 1589 Parliament,en
214e457039d44c6d23ee44eb400b149cf35b7f41,Q6536895,Q6536895$F0CD4A6B-1000-44C7-8269-F1A4FE80A657,normal,P39,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 60585962, 'id': 'Q60585962'}, 'type': 'wikibase-entityid'}","Lewis Mordaunt, 3rd Baron Mordaunt",en,position held,en,Member of the 1563-67 Parliament,en
28971cadc0c1693f112ab2061376f236e4fd3c3c,Q63156358,Q63156358$FF0EE4F7-618A-4FBE-B935-BCBCBDFEE622,normal,P569,time,"{'value': {'time': '+1873-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Wallis Vincent Browne,en,date of birth,en,1873,en
28971cadc0c1693f112ab2061376f236e4fd3c3c,Q63156358,Q63156358$C3377153-5E42-43DC-8392-E29CEF08A8B5,normal,P570,time,"{'value': {'time': '+1921-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Wallis Vincent Browne,en,date of death,en,1921,en
d1a974eaba1f3b32f7ebc2459c7cbf46e2f5aa92,Q63161093,Q63161093$2FB1FDF6-4497-4131-B645-B659A45403C3,normal,P569,time,"{'value': {'time': '+1839-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Peter Alexander Peterson,en,date of birth,en,1839,en
d1a974eaba1f3b32f7ebc2459c7cbf46e2f5aa92,Q63161093,Q63161093$7BAA963A-3D9B-4C05-B55F-B73341810718,normal,P570,time,"{'value': {'time': '+1913-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Peter Alexander Peterson,en,date of death,en,1913,en
d4f985dba06871a7d6b1d5a268bc389b3d3b7c19,Q63160860,Q63160860$103730CB-9DE4-43CC-982E-DC64823C6F8A,normal,P569,time,"{'value': {'time': '+1858-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Louis Philip Nott,en,date of birth,en,1858,en
d4f985dba06871a7d6b1d5a268bc389b3d3b7c19,Q63160860,Q63160860$F7BA0D22-41CA-4247-BBC8-5F0AB7D78A55,normal,P570,time,"{'value': {'time': '+1916-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Louis Philip Nott,en,date of death,en,1916,en
f92c70be937b581fd780e1c2303871b6db1c1dbb,Q63157226,Q63157226$106F5FAE-FAC3-4D34-AD68-714E72D0D93F,normal,P569,time,"{'value': {'time': '+1917-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Thomas Alexander Dalling,en,date of birth,en,1917,en
f92c70be937b581fd780e1c2303871b6db1c1dbb,Q63157226,Q63157226$91BBA841-10BC-415C-87B9-07EB5DB8D29D,normal,P570,time,"{'value': {'time': '+1942-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Thomas Alexander Dalling,en,date of death,en,1942,en
080da364904fb2c94058b444213026d02570411d,Q63156797,Q63156797$7DCF2987-B351-4BAC-AB3D-659742DAF927,normal,P569,time,"{'value': {'time': '+1829-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",William Welham Clarke,en,date of birth,en,1829,en
080da364904fb2c94058b444213026d02570411d,Q63156797,Q63156797$F98C48C4-F906-4958-82A1-6E0EA56EDE5E,normal,P570,time,"{'value': {'time': '+1877-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",William Welham Clarke,en,date of death,en,1877,en
839ba398dddfee9a09aaf4495efefc371cbc1abb,Q63155693,Q63155693$52E3C34D-8422-4B9B-B9F0-D8EA724A09A1,normal,P569,time,"{'value': {'time': '+1886-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Edwin Padmore Barnett,en,date of birth,en,1886,en
839ba398dddfee9a09aaf4495efefc371cbc1abb,Q63155693,Q63155693$DEB735AB-0ECC-49A9-AF93-BFD9C10A6684,normal,P570,time,"{'value': {'time': '+1943-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Edwin Padmore Barnett,en,date of death,en,1943,en
4a3bc68645cbce5c4e9c32a8501e698a66920a24,Q63155852,Q63155852$2F93B3FC-25EE-498A-B8D2-C9AEDAD731C9,normal,P569,time,"{'value': {'time': '+1891-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Oliver Bryden Bell,en,date of birth,en,1891,en
4a3bc68645cbce5c4e9c32a8501e698a66920a24,Q63155852,Q63155852$EEEBBB28-F467-4659-811F-DF9061028112,normal,P570,time,"{'value': {'time': '+1944-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Oliver Bryden Bell,en,date of death,en,1944,en
d69c5c3a4034dd19e2e9ab063494370d1a7f4ca3,Q2426204,Q2426204$4324C44E-B375-464B-AAED-93B79A95F868,normal,P569,time,"{'value': {'time': '+1715-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Thomas Mudge,en,date of birth,en,1715,en
d69c5c3a4034dd19e2e9ab063494370d1a7f4ca3,Q2426204,Q2426204$391C0F15-E5DC-4434-A463-C73484FA3144,normal,P570,time,"{'value': {'time': '+1794-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Thomas Mudge,en,date of death,en,1794,en
f28a56677a04ed8d0193a6d84756c086280dd41e,Q63158718,Q63158718$01D670F4-2689-46F7-8294-2BAB96D8DB85,normal,P569,time,"{'value': {'time': '+1822-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Richard Edwin Hattersley,en,date of birth,en,1822,en
f28a56677a04ed8d0193a6d84756c086280dd41e,Q63158718,Q63158718$DA785E77-9B93-4DEC-AC33-CD0DFC5F33C4,normal,P570,time,"{'value': {'time': '+1893-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Richard Edwin Hattersley,en,date of death,en,1893,en
fc90c58b59e8e6bd1876ecf0caf7b2953eaf2817,Q63160962,Q63160962$270E6196-92D8-4590-BAFB-6A393C67599F,normal,P569,time,"{'value': {'time': '+1880-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",William Arthur Oubridge,en,date of birth,en,1880,en
fc90c58b59e8e6bd1876ecf0caf7b2953eaf2817,Q63160962,Q63160962$F0372107-06E5-4BCD-B49C-E893B48FE54A,normal,P570,time,"{'value': {'time': '+1942-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",William Arthur Oubridge,en,date of death,en,1942,en
0c0f79501dc71d11701d479543b6c9ced9ec28b2,Q63155402,Q63155402$1A226434-E5B3-4DCD-A3A3-586F2517198F,normal,P569,time,"{'value': {'time': '+1876-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Charles Henry Thomas Alston,en,date of birth,en,1876,en
0c0f79501dc71d11701d479543b6c9ced9ec28b2,Q63155402,Q63155402$4D5444FB-EC33-4CD9-A044-E71A2B9393E8,normal,P570,time,"{'value': {'time': '+1946-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Charles Henry Thomas Alston,en,date of death,en,1946,en
5df4287c1baeffd5e5e520632d3ee7e56fddb233,Q72685778,Q72685778$2ec477bf-417e-4fab-38be-8dd66dc87bee,normal,P569,time,"{'value': {'time': '+1796-03-23T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Robert Brunton,en,date of birth,en,23/03/1796,en
5df4287c1baeffd5e5e520632d3ee7e56fddb233,Q72685778,Q72685778$f3cbc29c-4788-4a12-1b04-abd2fff5a5bc,normal,P569,time,"{'value': {'time': '+1796-02-10T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 11, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",Robert Brunton,en,date of birth,en,10/02/1796,en
6606d407084a87c73389e10e231692913d12e83b,Q63162450,Q63162450$553FC5FA-D26C-4B27-B124-76C3C3913972,normal,P569,time,"{'value': {'time': '+1838-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",William Wasteneys Smith,en,date of birth,en,1838,en
6606d407084a87c73389e10e231692913d12e83b,Q63162450,Q63162450$FC411B65-F042-4A8A-9C7E-059AC09DBCCF,normal,P570,time,"{'value': {'time': '+1914-01-01T00:00:00Z', 'timezone': 0, 'before': 0, 'after': 0, 'precision': 9, 'calendarmodel': 'http://www.wikidata.org/entity/Q1985727'}, 'type': 'time'}",William Wasteneys Smith,en,date of death,en,1914,en
d9165440fff6db6ab2dcbddcc170ef8718cddb5d,Q154869,Q154869$352414d2-45e2-6926-cfa8-5bae68dc4ac4,normal,P780,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 186889, 'id': 'Q186889'}, 'type': 'wikibase-entityid'}",hepatitis C,en,symptoms and signs,en,nausea,en
d9165440fff6db6ab2dcbddcc170ef8718cddb5d,Q154869,Q154869$f7ffc816-4b8d-4838-5b66-3ea01186fa85,normal,P780,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 127076, 'id': 'Q127076'}, 'type': 'wikibase-entityid'}",hepatitis C,en,symptoms and signs,en,vomiting,en
d9165440fff6db6ab2dcbddcc170ef8718cddb5d,Q154869,Q154869$3BF09FBE-9EAD-49B3-8140-F717EDAFF353,normal,P780,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 131742, 'id': 'Q131742'}, 'type': 'wikibase-entityid'}",hepatitis C,en,symptoms and signs,en,hepatitis,en
d9165440fff6db6ab2dcbddcc170ef8718cddb5d,Q154869,Q154869$F69C6AB9-0A67-41CF-BBE9-1A12E1EB744B,normal,P279,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 1928978, 'id': 'Q1928978'}, 'type': 'wikibase-entityid'}",hepatitis C,en,subclass of,en,viral infectious disease,en
07e5472c894f3a83ba332ead37498235f1153d87,Q5348629,Q5348629$00E49FFE-4999-4460-92E8-079D07AFCE5B,normal,P1542,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 2845432, 'id': 'Q2845432'}, 'type': 'wikibase-entityid'}",Ehrlichia chaffeensis,en,has effect,en,ehrlichiosis,en
3a8f4dcec19f1227d72f003b8645cca79b75560f,Q18556538,Q18556538$CC07B86A-3CE3-446E-94F9-6E4A2303EBA8,normal,P927,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 11090, 'id': 'Q11090'}, 'type': 'wikibase-entityid'}",small intestine carcinoma,en,anatomical location,en,small intestine,en
b4a3a7bb2c25ea7cb025de1515df5ccef7469227,Q18556249,Q18556249$490B9619-8712-4C13-AC22-23AEB2CECF67,normal,P279,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 3041498, 'id': 'Q3041498'}, 'type': 'wikibase-entityid'}",conjunctival disease,en,subclass of,en,eye disease,en
b4a3a7bb2c25ea7cb025de1515df5ccef7469227,Q18556249,Q18556249$AD31009D-3872-43DA-B024-FEF67279CC9B,normal,P1748,string,"{'value': 'C27605', 'type': 'string'}",conjunctival disease,en,NCI Thesaurus ID,en,C27605,en
b4a3a7bb2c25ea7cb025de1515df5ccef7469227,Q18556249,Q18556249$3ee27136-4b2e-72d7-7e3f-93c205cfa155,normal,P927,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 273554, 'id': 'Q273554'}, 'type': 'wikibase-entityid'}",conjunctival disease,en,anatomical location,en,conjunctiva,en
b4a3a7bb2c25ea7cb025de1515df5ccef7469227,Q18556249,Q18556249$EF33794E-9729-419D-BE40-25C83F292F5B,normal,P1692,string,"{'value': '372', 'type': 'string'}",conjunctival disease,en,ICD-9-CM,en,372,en
b4a3a7bb2c25ea7cb025de1515df5ccef7469227,Q18556249,Q18556249$81EAA34D-3C72-4C6B-9A02-732E06136703,normal,P1692,string,"{'value': '372.9', 'type': 'string'}",conjunctival disease,en,ICD-9-CM,en,372.9,en
842880224fc200ed8ec8f9755b090fd727f6c808,Q18557546,Q18557546$6A6DD32A-3A2D-4A82-9409-91EE812EE153,normal,P1748,string,"{'value': 'C3431', 'type': 'string'}",urinary system benign neoplasm,en,NCI Thesaurus ID,en,C3431,en
842880224fc200ed8ec8f9755b090fd727f6c808,Q18557546,Q18557546$0217A899-B234-46D5-B85C-C158D486A1A6,normal,P927,wikibase-item,"{'value': {'entity-type': 'item', 'numeric-id': 181100, 'id': 'Q181100'}, 'type': 'wikibase-entityid'}",urinary system benign neoplasm,en,anatomical location,en,urinary system,en
